Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCF_003852045.1	ASM385204v1	Pseudomonas orientalis		8B					PRJNA433211	SAMN08359171
GCA_036864995.1	ASM3686499v1	Pseudomonas trivialis		P_trivialis_W04_8					PRJNA951732	SAMN34055366
GCF_036864995.1	ASM3686499v1	Pseudomonas trivialis		P_trivialis_W04_8					PRJNA951732	SAMN34055366
GCA_900215245.1	IMG-taxon 2617270901 annotated assembly	Pseudomonas fluorescens		ATCC 13525					PRJEB22404	SAMN04488487
GCF_900215245.1	IMG-taxon 2617270901 annotated assembly	Pseudomonas fluorescens		ATCC 13525					PRJEB22404	SAMN04488487
GCA_900103345.1	IMG-taxon 2636416017 annotated assembly	Pseudomonas azotoformans		LMG 21611					PRJEB16206	SAMN04489799
GCF_900103345.1	IMG-taxon 2636416017 annotated assembly	Pseudomonas azotoformans		LMG 21611					PRJEB16206	SAMN04489799
GCA_900106065.1	IMG-taxon 2636416004 annotated assembly	Pseudomonas mandelii		LMG 21607					PRJEB16502	SAMN04489801
GCF_900106065.1	IMG-taxon 2636416004 annotated assembly	Pseudomonas mandelii		LMG 21607					PRJEB16502	SAMN04489801
GCA_900106005.1	IMG-taxon 2675902957 annotated assembly	Pseudomonas mediterranea		DSM 16733					PRJEB16456	SAMN05216476
GCF_900106005.1	IMG-taxon 2675902957 annotated assembly	Pseudomonas mediterranea		DSM 16733					PRJEB16456	SAMN05216476
GCA_900105485.1	IMG-taxon 2667527397 annotated assembly	Pseudomonas granadensis		LMG 27940					PRJEB16372	SAMN05216579
GCF_900105485.1	IMG-taxon 2667527397 annotated assembly	Pseudomonas granadensis		LMG 27940					PRJEB16372	SAMN05216579
GCA_900104915.1	IMG-taxon 2636416193 annotated assembly	Pseudomonas cedrina		BS2981					PRJEB16405	SAMN04490182
GCF_900104915.1	IMG-taxon 2636416193 annotated assembly	Pseudomonas cedrina		LMG 23661					PRJEB16405	SAMN04490182
GCA_002813445.1	ASM281344v1	Pseudomonas tolaasii NCPPB 2192		NCPPB 2192					PRJNA303528	SAMN04488246
GCF_002813445.1	ASM281344v1	Pseudomonas tolaasii NCPPB 2192		NCPPB 2192					PRJNA303528	SAMN04488246
GCA_036283065.1	ASM3628306v1	Pseudomonas moraviensis subsp. stanleyae		#71					PRJNA602998	SAMN13915852
GCF_036283065.1	ASM3628306v1	Pseudomonas moraviensis subsp. stanleyae		#71					PRJNA602998	SAMN13915852
GCA_024169545.1	ASM2416954v1	Pseudomonas migulae		CFML 95-321					PRJNA709541	SAMN18244814
GCF_024169545.1	ASM2416954v1	Pseudomonas migulae		CFML 95-321					PRJNA709541	SAMN18244814
GCA_002813455.1	ASM281345v1	Pseudomonas baetica		LMG 25716					PRJNA303516	SAMN04488362
GCF_002813455.1	ASM281345v1	Pseudomonas baetica		LMG 25716					PRJNA303516	SAMN04488362
GCA_900103225.1	IMG-taxon 2663762773 annotated assembly	Pseudomonas congelans		DSM 14939					PRJEB16279	SAMN05216596
GCF_900103225.1	IMG-taxon 2663762773 annotated assembly	Pseudomonas congelans		DSM 14939					PRJEB16279	SAMN05216596
GCA_001439685.1	G8685	Pseudomonas libanensis		DSM 17149					PRJNA274345	SAMN03328793
GCF_001439685.1	G8685	Pseudomonas libanensis		DSM 17149					PRJNA274345	SAMN03328793
GCA_018336155.1	ASM1833615v1	Pseudomonas rustica		MBT-4					PRJNA656947	SAMN18880036
GCF_018336155.1	ASM1833615v1	Pseudomonas rustica		MBT-4					PRJNA656947	SAMN18880036
GCA_021602345.1	ASM2160234v1	Pseudomonas pharyngis		BML-PP036					PRJDB10089	SAMD00422629
GCF_021602345.1	ASM2160234v1	Pseudomonas pharyngis		BML-PP036					PRJDB10089	SAMD00422629
GCA_021602155.1	ASM2160215v1	Pseudomonas parakoreensis		BML-PP030					PRJDB10089	SAMD00422624
GCF_021602155.1	ASM2160215v1	Pseudomonas parakoreensis		BML-PP030					PRJDB10089	SAMD00422624
GCA_015461835.1	ASM1546183v1	Pseudomonas neuropathica		P155					PRJNA657838	SAMN15848192
GCF_015461835.1	ASM1546183v1	Pseudomonas neuropathica		P155					PRJNA657838	SAMN15848192
GCA_021601625.1	ASM2160162v1	Pseudomonas paraglycinae		BML-PP023					PRJDB10089	SAMD00422617
GCF_021601625.1	ASM2160162v1	Pseudomonas paraglycinae		BML-PP023					PRJDB10089	SAMD00422617
GCA_021603585.1	ASM2160358v1	Pseudomonas sputi		BML-PP014					PRJDB10089	SAMD00422608
GCF_021603585.1	ASM2160358v1	Pseudomonas sputi		BML-PP014					PRJDB10089	SAMD00422608
GCA_013433315.1	ASM1343331v1	Pseudomonas crudilactis		UCMA 17988					PRJNA599703	SAMN13762321
GCF_013433315.1	ASM1343331v1	Pseudomonas crudilactis		UCMA 17988					PRJNA599703	SAMN13762321
GCA_011369485.1	ASM1136948v1	Pseudomonas atagonensis		PS14					PRJNA565185	SAMN12736367
GCF_011369485.1	ASM1136948v1	Pseudomonas atagonensis		PS14					PRJNA565185	SAMN12736367
GCA_015163715.1	ASM1516371v1	Pseudomonas cyclaminis		MAFF 301449					PRJNA670593	SAMN16513463
GCF_015163715.1	ASM1516371v1	Pseudomonas cyclaminis		MAFF 301449					PRJNA670593	SAMN16513463
GCA_900101185.1	IMG-taxon 2636416191 annotated assembly	Pseudomonas gessardii		BS2982					PRJEB16048	SAMN04490207
GCF_900101185.1	IMG-taxon 2636416191 annotated assembly	Pseudomonas gessardii		LMG 21604					PRJEB16048	SAMN04490207
GCA_900105955.1	IMG-taxon 2639763197 annotated assembly	Pseudomonas proteolytica		BS2985					PRJEB16476	SAMN04490200
GCF_900105955.1	IMG-taxon 2639763197 annotated assembly	Pseudomonas proteolytica		LMG 22710					PRJEB16476	SAMN04490200
GCA_900105935.1	IMG-taxon 2645728113 annotated assembly	Pseudomonas costantinii		BS2773					PRJEB16477	SAMN04515675
GCF_900105935.1	IMG-taxon 2645728113 annotated assembly	Pseudomonas costantinii		LMG 22119					PRJEB16477	SAMN04515675
GCA_023241665.1	ASM2324166v1	Pseudomonas morbosilactucae		MAFF 302046					PRJNA832010	SAMN27770902
GCF_023241665.1	ASM2324166v1	Pseudomonas morbosilactucae		MAFF 302046					PRJNA832010	SAMN27770902
GCA_021166595.1	ASM2116659v1	Pseudomonas petroselini		MAFF 311096					PRJNA785391	SAMN23560443
GCF_021166595.1	ASM2116659v1	Pseudomonas petroselini		MAFF 311096					PRJNA785391	SAMN23560443
GCA_900475215.1	42727_B01	Pseudomonas fluorescens		NCTC10038					PRJEB6403	SAMEA3649026
GCF_900475215.1	42727_B01	Pseudomonas fluorescens		NCTC10038					PRJEB6403	SAMEA3649026
GCA_901482615.1	45076_A01	Pseudomonas synxantha		NCTC10696					PRJEB6403	SAMEA4537265
GCF_901482615.1	45076_A01	Pseudomonas synxantha		NCTC10696					PRJEB6403	SAMEA4537265
GCA_000237065.1	ASM23706v1	Pseudomonas ogarae		F113					PRJNA76715	SAMN02604099
GCF_000237065.1	ASM23706v1	Pseudomonas ogarae		F113					PRJNA76715	SAMN02604099
GCA_001307275.1	ASM130727v1	Pseudomonas fluorescens		FW300-N2C3					PRJNA295937	SAMN04094107
GCF_001307275.1	ASM130727v1	Pseudomonas fluorescens		FW300-N2C3					PRJNA295937	SAMN04094107
GCA_015074865.1	ASM1507486v1	Pseudomonas fluorescens		KF1					PRJNA669298	SAMN16450755
GCF_015074865.1	ASM1507486v1	Pseudomonas fluorescens		KF1					PRJNA669298	SAMN16450755
GCA_040448305.1	ASM4044830v1	Pseudomonas fluorescens		AB1					PRJNA1085646	SAMN40310767
GCF_040448305.1	ASM4044830v1	Pseudomonas fluorescens		AB1					PRJNA1085646	SAMN40310767
GCA_038447645.1	ASM3844764v1	Pseudomonas fluorescens		IMGN2					PRJNA1091830	SAMN40613482
GCF_038447645.1	ASM3844764v1	Pseudomonas fluorescens		IMGN2					PRJNA1091830	SAMN40613482
GCA_001708445.1	ASM170844v1	Pseudomonas fluorescens		L321					PRJNA320923	SAMN04992557
GCF_001708445.1	ASM170844v1	Pseudomonas fluorescens		L321					PRJNA320923	SAMN04992557
GCA_002865505.1	ASM286550v1	Pseudomonas fluorescens		2P24					PRJNA427257	SAMN08225789
GCF_002865505.1	ASM286550v1	Pseudomonas fluorescens		2P24					PRJNA427257	SAMN08225789
GCA_001708465.1	ASM170846v1	Pseudomonas fluorescens		L111					PRJNA320923	SAMN04992704
GCF_001708465.1	ASM170846v1	Pseudomonas fluorescens		L111					PRJNA320923	SAMN04992704
GCA_017498465.1	ASM1749846v1	Pseudomonas fluorescens		YK-310					PRJNA705218	SAMN18079027
GCF_017498465.1	ASM1749846v1	Pseudomonas fluorescens		YK-310					PRJNA705218	SAMN18079027
GCA_010448615.1	ASM1044861v1	Pseudomonas fluorescens		DR397					PRJNA604478	SAMN13972462
GCF_010448615.1	ASM1044861v1	Pseudomonas fluorescens		DR397					PRJNA604478	SAMN13972462
GCA_022023875.1	ASM2202387v1	Pseudomonas fluorescens		2020WEIHUA_J					PRJNA647632	SAMN15595110
GCF_022023875.1	ASM2202387v1	Pseudomonas fluorescens		2020WEIHUA_J					PRJNA647632	SAMN15595110
GCA_001307155.1	ASM130715v1	Pseudomonas fluorescens		FW300-N2E3					PRJNA295937	SAMN04094105
GCF_001307155.1	ASM130715v1	Pseudomonas fluorescens		FW300-N2E3					PRJNA295937	SAMN04094105
GCA_030344995.1	ASM3034499v1	Pseudomonas fluorescens		PH.SM					PRJNA982536	SAMN35709872
GCF_030344995.1	ASM3034499v1	Pseudomonas fluorescens		PH.SM					PRJNA982536	SAMN35709872
GCA_012974785.1	ASM1297478v1	Pseudomonas fluorescens		G7					PRJNA437216	SAMN08644036
GCF_012974785.1	ASM1297478v1	Pseudomonas fluorescens		G7					PRJNA437216	SAMN08644036
GCA_030687555.1	ASM3068755v1	Pseudomonas fluorescens		FP2327					PRJNA847632	SAMN29204985
GCF_030687555.1	ASM3068755v1	Pseudomonas fluorescens		FP2327					PRJNA847632	SAMN29204985
GCA_025561665.1	ASM2556166v1	Pseudomonas fluorescens		Ant01					PRJNA879781	SAMN30814564
GCF_025561665.1	ASM2556166v1	Pseudomonas fluorescens		Ant01					PRJNA879781	SAMN30814564
GCA_004683905.1	ASM468390v1	Pseudomonas fluorescens		LBUM677					PRJNA529600	SAMN11279263
GCF_004683905.1	ASM468390v1	Pseudomonas fluorescens		LBUM677					PRJNA529600	SAMN11279263
GCA_000730425.1	ASM73042v1	Pseudomonas fluorescens		UK4					PRJNA254192	SAMN02900729
GCF_000730425.1	ASM73042v1	Pseudomonas fluorescens		UK4					PRJNA254192	SAMN02900729
GCA_900636825.1	44858_E01	Pseudomonas fluorescens		NCTC9428					PRJEB6403	SAMEA3881054
GCF_900636825.1	44858_E01	Pseudomonas fluorescens		NCTC9428					PRJEB6403	SAMEA3881054
GCA_024266685.1	ASM2426668v1	Pseudomonas fluorescens		ZL22					PRJNA855899	SAMN29502200
GCF_024266685.1	ASM2426668v1	Pseudomonas fluorescens		ZL22					PRJNA855899	SAMN29502200
GCA_043585125.1	PFX1	Pseudomonas fluorescens		PFX1					PRJNA1101434	SAMN40993003
GCF_043585125.1	PFX1	Pseudomonas fluorescens		PFX1					PRJNA1101434	SAMN40993003
GCF_000009225.2	ASM922v1	Pseudomonas [fluorescens] SBW25		SBW25					PRJEA31229	SAMEA2272316
GCA_000012445.1	ASM1244v1	Pseudomonas fluorescens Pf0-1		Pf0-1					PRJNA12	SAMN02598267
GCF_000012445.1	ASM1244v1	Pseudomonas fluorescens Pf0-1		Pf0-1					PRJNA12	SAMN02598267
GCA_000293885.3	ASM29388v3	Pseudomonas fluorescens NCIMB 11764		NCIMB 11764					PRJNA172562	SAMN01112396
GCF_000293885.2	ASM29388v3	Pseudomonas fluorescens NCIMB 11764		NCIMB 11764					PRJNA172562	SAMN01112396
GCA_026314355.1	ASM2631435v1	Pseudomonas koreensis		FP1691					PRJNA899454	SAMN31656541
GCF_026314355.1	ASM2631435v1	Pseudomonas koreensis		FP1691					PRJNA899454	SAMN31656541
GCA_001605965.1	ASM160596v1	Pseudomonas koreensis		D26					PRJNA312703	SAMN04498955
GCF_001605965.1	ASM160596v1	Pseudomonas koreensis		D26					PRJNA312703	SAMN04498955
GCA_039698025.1	ASM3969802v1	Pseudomonas koreensis		BM06					PRJNA1110185	SAMN41319881
GCF_039698025.1	ASM3969802v1	Pseudomonas koreensis		BM06					PRJNA1110185	SAMN41319881
GCA_035666255.1	ASM3566625v1	Pseudomonas veronii		T1					PRJNA1062555	SAMN39301934
GCF_035666255.1	ASM3566625v1	Pseudomonas veronii		T1					PRJNA1062555	SAMN39301934
GCA_004919535.4	ASM491953v4	Pseudomonas veronii		Pvy					PRJNA529862	SAMN11287943
GCF_004919535.4	ASM491953v4	Pseudomonas veronii		Pvy					PRJNA529862	SAMN11287943
GCA_021233455.1	ASM2123345v1	Pseudomonas veronii		G2					PRJNA788353	SAMN23966549
GCF_021233455.1	ASM2123345v1	Pseudomonas veronii		G2					PRJNA788353	SAMN23966549
GCA_030436055.1	ASM3043605v1	Pseudomonas veronii		OST1911					PRJNA325248	SAMN36290030
GCF_030436055.1	ASM3043605v1	Pseudomonas veronii		OST1911					PRJNA325248	SAMN36290030
GCA_006547025.1	ASM654702v1	Pseudomonas azotoformans		P45A					PRJNA551264	SAMN12142686
GCF_006547025.1	ASM654702v1	Pseudomonas azotoformans		P45A					PRJNA551264	SAMN12142686
GCA_001579805.1	ASM157980v1	Pseudomonas azotoformans		S4					PRJNA312730	SAMN04505798
GCF_001579805.1	ASM157980v1	Pseudomonas azotoformans		S4					PRJNA312730	SAMN04505798
GCA_022533565.1	ASM2253356v1	Pseudomonas azotoformans		ZY-1					PRJNA811261	SAMN26317851
GCF_022533565.1	ASM2253356v1	Pseudomonas azotoformans		ZY-1					PRJNA811261	SAMN26317851
GCA_002007785.1	ASM200778v1	Pseudomonas azotoformans		F77					PRJNA374904	SAMN06339647
GCF_002007785.1	ASM200778v1	Pseudomonas azotoformans		F77					PRJNA374904	SAMN06339647
GCA_024748715.1	ASM2474871v1	Pseudomonas moraviensis		B21-039					PRJNA779451	SAMN23038793
GCF_024748715.1	ASM2474871v1	Pseudomonas moraviensis		B21-039					PRJNA779451	SAMN23038793
GCA_033556905.1	ASM3355690v1	Pseudomonas moraviensis		EFBE32					PRJNA887838	SAMN31202222
GCF_033556905.1	ASM3355690v1	Pseudomonas moraviensis		EFBE32					PRJNA887838	SAMN31202222
GCA_024072215.1	ASM2407221v1	Pseudomonas moraviensis		OTU5MASSA1					PRJNA848627	SAMN29008047
GCF_024072215.1	ASM2407221v1	Pseudomonas moraviensis		OTU5MASSA1					PRJNA848627	SAMN29008047
GCA_024072135.1	ASM2407213v1	Pseudomonas moraviensis		OTU5BARRA1					PRJNA848627	SAMN29007430
GCF_024072135.1	ASM2407213v1	Pseudomonas moraviensis		OTU5BARRA1					PRJNA848627	SAMN29007430
GCA_024072235.1	ASM2407223v1	Pseudomonas moraviensis		OTU5VILLAA1					PRJNA848627	SAMN29009528
GCF_024072235.1	ASM2407223v1	Pseudomonas moraviensis		OTU5VILLAA1					PRJNA848627	SAMN29009528
GCA_019285655.1	ASM1928565v1	Pseudomonas tolaasii		Pt11					PRJNA683147	SAMN17023443
GCF_019285655.1	ASM1928565v1	Pseudomonas tolaasii		Pt11					PRJNA683147	SAMN17023443
GCA_030687655.1	ASM3068765v1	Pseudomonas tolaasii		FP2293					PRJNA847632	SAMN29204981
GCF_030687655.1	ASM3068765v1	Pseudomonas tolaasii		FP2293					PRJNA847632	SAMN29204981
GCA_037094645.1	P_t_RSB_5_11_ONT_WGS	Pseudomonas tolaasii		RSB 5.11					PRJNA1083108	SAMN40232841
GCF_037094645.1	P_t_RSB_5_11_ONT_WGS	Pseudomonas tolaasii		RSB 5.11					PRJNA1083108	SAMN40232841
GCA_019693255.1	ASM1969325v1	Pseudomonas mandelii		KGI_MA19					PRJNA753676	SAMN20703549
GCF_019693255.1	ASM1969325v1	Pseudomonas mandelii		KGI_MA19					PRJNA753676	SAMN20703549
GCA_000257545.3	ASM25754v3	Pseudomonas mandelii JR-1		JR-1					PRJNA83441	SAMN02469697
GCF_000257545.3	ASM25754v3	Pseudomonas mandelii JR-1		JR-1					PRJNA83441	SAMN02469697
GCA_029916865.1	ASM2991686v1	Pseudomonas marginalis		MGMM3					PRJNA960949	SAMN34340078
GCF_029916865.1	ASM2991686v1	Pseudomonas marginalis		MGMM3					PRJNA960949	SAMN34340078
GCA_034424355.1	ASM3442435v1	Pseudomonas marginalis		SBW25					PRJNA1047486	SAMN38562722
GCF_034424355.1	ASM3442435v1	Pseudomonas marginalis		SBW25					PRJNA1047486	SAMN38562722
GCA_026016525.1	ASM2601652v1	Pseudomonas corrugata		B21-055					PRJNA779433	SAMN23038869
GCF_026016525.1	ASM2601652v1	Pseudomonas corrugata		B21-055					PRJNA779433	SAMN23038869
GCA_045037965.1	ASM4503796v1	Pseudomonas marginalis		M13					PRJNA1183984	SAMN44656281
GCF_045037965.1	ASM4503796v1	Pseudomonas marginalis		M13					PRJNA1183984	SAMN44656281
GCA_014930995.1	ASM1493099v1	Pseudomonas poae		PMA22					PRJNA668055	SAMN16395612
GCF_014930995.1	ASM1493099v1	Pseudomonas poae		PMA22					PRJNA668055	SAMN16395612
GCA_040438945.1	ASM4043894v1	Pseudomonas poae		MYb114					PRJNA1117819	SAMN41580856
GCF_040438945.1	ASM4043894v1	Pseudomonas poae		MYb114					PRJNA1117819	SAMN41580856
GCA_017604325.1	ASM1760432v1	Pseudomonas corrugata		3prime					PRJNA433078	SAMN08470181
GCF_017604325.1	ASM1760432v1	Pseudomonas corrugata		3prime					PRJNA433078	SAMN08470181
GCA_026016485.1	ASM2601648v1	Pseudomonas corrugata		B21-061					PRJNA779433	SAMN23038871
GCF_026016485.1	ASM2601648v1	Pseudomonas corrugata		B21-061					PRJNA779433	SAMN23038871
GCA_036865475.1	ASM3686547v1	Pseudomonas poae		B04_1					PRJNA951732	SAMN34055317
GCF_036865475.1	ASM3686547v1	Pseudomonas poae		B04_1					PRJNA951732	SAMN34055317
GCA_036865465.1	ASM3686546v1	Pseudomonas poae		B04_4					PRJNA951732	SAMN34055319
GCF_036865465.1	ASM3686546v1	Pseudomonas poae		B04_4					PRJNA951732	SAMN34055319
GCA_036865275.1	ASM3686527v1	Pseudomonas poae		P_poae_Z9_2					PRJNA951732	SAMN34055338
GCF_036865275.1	ASM3686527v1	Pseudomonas poae		P_poae_Z9_2					PRJNA951732	SAMN34055338
GCA_036865265.1	ASM3686526v1	Pseudomonas poae		P_poae_Z9_4					PRJNA951732	SAMN34055339
GCF_036865265.1	ASM3686526v1	Pseudomonas poae		P_poae_Z9_4					PRJNA951732	SAMN34055339
GCA_036865245.1	ASM3686524v1	Pseudomonas poae		P_poae_Z9_6					PRJNA951732	SAMN34055341
GCF_036865245.1	ASM3686524v1	Pseudomonas poae		P_poae_Z9_6					PRJNA951732	SAMN34055341
GCA_036865255.1	ASM3686525v1	Pseudomonas poae		P_poae_Z9_5					PRJNA951732	SAMN34055340
GCF_036865255.1	ASM3686525v1	Pseudomonas poae		P_poae_Z9_5					PRJNA951732	SAMN34055340
GCA_036865295.1	ASM3686529v1	Pseudomonas poae		P_poae_W12_7					PRJNA951732	SAMN34055336
GCF_036865295.1	ASM3686529v1	Pseudomonas poae		P_poae_W12_7					PRJNA951732	SAMN34055336
GCA_036865315.1	ASM3686531v1	Pseudomonas poae		P_poae_W12_10					PRJNA951732	SAMN34055334
GCF_036865315.1	ASM3686531v1	Pseudomonas poae		P_poae_W12_10					PRJNA951732	SAMN34055334
GCA_036865285.1	ASM3686528v1	Pseudomonas poae		P_poae_W12_9					PRJNA951732	SAMN34055337
GCF_036865285.1	ASM3686528v1	Pseudomonas poae		P_poae_W12_9					PRJNA951732	SAMN34055337
GCA_036865415.1	ASM3686541v1	Pseudomonas poae		B12_2					PRJNA951732	SAMN34055324
GCF_036865415.1	ASM3686541v1	Pseudomonas poae		B12_2					PRJNA951732	SAMN34055324
GCA_036865425.1	ASM3686542v1	Pseudomonas poae		B12_1					PRJNA951732	SAMN34055323
GCF_036865425.1	ASM3686542v1	Pseudomonas poae		B12_1					PRJNA951732	SAMN34055323
GCA_036865385.1	ASM3686538v1	Pseudomonas poae		B12_5					PRJNA951732	SAMN34055327
GCF_036865385.1	ASM3686538v1	Pseudomonas poae		B12_5					PRJNA951732	SAMN34055327
GCA_036865395.1	ASM3686539v1	Pseudomonas poae		B12_4					PRJNA951732	SAMN34055326
GCF_036865395.1	ASM3686539v1	Pseudomonas poae		B12_4					PRJNA951732	SAMN34055326
GCA_036865375.1	ASM3686537v1	Pseudomonas poae		B12_7					PRJNA951732	SAMN34055328
GCF_036865375.1	ASM3686537v1	Pseudomonas poae		B12_7					PRJNA951732	SAMN34055328
GCA_036865405.1	ASM3686540v1	Pseudomonas poae		B12_3					PRJNA951732	SAMN34055325
GCF_036865405.1	ASM3686540v1	Pseudomonas poae		B12_3					PRJNA951732	SAMN34055325
GCA_036865305.1	ASM3686530v1	Pseudomonas poae		P_poae_W12_2					PRJNA951732	SAMN34055335
GCF_036865305.1	ASM3686530v1	Pseudomonas poae		P_poae_W12_2					PRJNA951732	SAMN34055335
GCA_036865455.1	ASM3686545v1	Pseudomonas poae		B05_3					PRJNA951732	SAMN34055320
GCF_036865455.1	ASM3686545v1	Pseudomonas poae		B05_3					PRJNA951732	SAMN34055320
GCA_036865435.1	ASM3686543v1	Pseudomonas poae		B11_6					PRJNA951732	SAMN34055322
GCF_036865435.1	ASM3686543v1	Pseudomonas poae		B11_6					PRJNA951732	SAMN34055322
GCA_036865325.1	ASM3686532v1	Pseudomonas poae		P_poae_W11_9					PRJNA951732	SAMN34055333
GCF_036865325.1	ASM3686532v1	Pseudomonas poae		P_poae_W11_9					PRJNA951732	SAMN34055333
GCA_036865345.1	ASM3686534v1	Pseudomonas poae		P_poae_W11_2					PRJNA951732	SAMN34055331
GCF_036865345.1	ASM3686534v1	Pseudomonas poae		P_poae_W11_2					PRJNA951732	SAMN34055331
GCA_036865445.1	ASM3686544v1	Pseudomonas poae		B11_5					PRJNA951732	SAMN34055321
GCF_036865445.1	ASM3686544v1	Pseudomonas poae		B11_5					PRJNA951732	SAMN34055321
GCA_036865335.1	ASM3686533v1	Pseudomonas poae		P_poae_W11_4					PRJNA951732	SAMN34055332
GCF_036865335.1	ASM3686533v1	Pseudomonas poae		P_poae_W11_4					PRJNA951732	SAMN34055332
GCA_003851465.1	ASM385146v1	Pseudomonas synxantha		30B					PRJNA433211	SAMN08359176
GCF_003851465.1	ASM385146v1	Pseudomonas synxantha		30B					PRJNA433211	SAMN08359176
GCA_000968415.2	ASM96841v2	Pseudomonas synxantha		LBUM223					PRJNA277915	SAMN03398829
GCF_000968415.2	ASM96841v2	Pseudomonas synxantha		LBUM223					PRJNA277915	SAMN03398829
GCA_003851495.1	ASM385149v1	Pseudomonas synxantha		2-79					PRJNA433211	SAMN08359175
GCF_003851495.1	ASM385149v1	Pseudomonas synxantha		2-79					PRJNA433211	SAMN08359175
GCA_900497645.1	NCIMB10586.c1	Pseudomonas synxantha		10586					PRJEB27737	SAMEA4794743
GCF_900497645.1	NCIMB10586.c1	Pseudomonas synxantha		10586					PRJEB27737	SAMEA4794743
GCA_003852025.1	ASM385202v1	Pseudomonas synxantha		R2-54-08W					PRJNA433211	SAMN08359172
GCF_003852025.1	ASM385202v1	Pseudomonas synxantha		R2-54-08W					PRJNA433211	SAMN08359172
GCA_003851525.1	ASM385152v1	Pseudomonas synxantha		R2-4-08W					PRJNA433211	SAMN08359173
GCF_003851525.1	ASM385152v1	Pseudomonas synxantha		R2-4-08W					PRJNA433211	SAMN08359173
GCA_028747225.1	ASM2874722v1	Pseudomonas synxantha		ATCC 17413					PRJNA932460	SAMN33193896
GCF_028747225.1	ASM2874722v1	Pseudomonas synxantha		ATCC 17413					PRJNA932460	SAMN33193896
GCA_018417575.1	ASM1841757v1	Pseudomonas rhodesiae		DLA23					PRJNA673262	SAMN18016125
GCF_018417575.1	ASM1841757v1	Pseudomonas rhodesiae		DLA23					PRJNA673262	SAMN18016125
GCA_030687355.1	ASM3068735v1	Pseudomonas rhodesiae		FP69					PRJNA847632	SAMN29204995
GCF_030687355.1	ASM3068735v1	Pseudomonas rhodesiae		FP69					PRJNA847632	SAMN29204995
GCA_030144705.1	ASM3014470v1	Pseudomonas rhodesiae		3.8					PRJNA972615	SAMN35084063
GCF_030144705.1	ASM3014470v1	Pseudomonas rhodesiae		3.8					PRJNA972615	SAMN35084063
GCA_030687185.1	ASM3068718v1	Pseudomonas rhodesiae		FP1707					PRJNA847632	SAMN29204961
